Frames,mov_headvel,error_reason,dbm_master_url
149,0.984885780179623,Pass,/app/raw_data/subj02_timepoint02.mp4
150,2.1213203435596433,Pass,/app/raw_data/subj02_timepoint02.mp4
151,0.8306623862917626,Pass,/app/raw_data/subj02_timepoint02.mp4
152,2.6248809496813035,Pass,/app/raw_data/subj02_timepoint02.mp4
153,2.161018278497444,Pass,/app/raw_data/subj02_timepoint02.mp4
154,0.30000000000001137,Pass,/app/raw_data/subj02_timepoint02.mp4
155,1.9390719429665286,Pass,/app/raw_data/subj02_timepoint02.mp4
156,1.9390719429665362,Pass,/app/raw_data/subj02_timepoint02.mp4
157,2.1610182784974308,Pass,/app/raw_data/subj02_timepoint02.mp4
158,4.561797891182801,Pass,/app/raw_data/subj02_timepoint02.mp4
159,5.212485011968829,Pass,/app/raw_data/subj02_timepoint02.mp4
160,3.505709628591603,Pass,/app/raw_data/subj02_timepoint02.mp4
161,6.482283548256738,Pass,/app/raw_data/subj02_timepoint02.mp4
162,0.4123105625617439,Pass,/app/raw_data/subj02_timepoint02.mp4
163,4.8918299234539955,Pass,/app/raw_data/subj02_timepoint02.mp4
164,7.756932383358762,Pass,/app/raw_data/subj02_timepoint02.mp4
165,4.374928570845472,Pass,/app/raw_data/subj02_timepoint02.mp4
166,9.625487000666554,Pass,/app/raw_data/subj02_timepoint02.mp4
167,2.437211521390788,Pass,/app/raw_data/subj02_timepoint02.mp4
168,4.993996395673509,Pass,/app/raw_data/subj02_timepoint02.mp4
169,1.900000000000034,Pass,/app/raw_data/subj02_timepoint02.mp4
170,2.3430749027719884,Pass,/app/raw_data/subj02_timepoint02.mp4
171,2.0223748416156644,Pass,/app/raw_data/subj02_timepoint02.mp4
172,3.983716857408407,Pass,/app/raw_data/subj02_timepoint02.mp4
173,2.5961509971494343,Pass,/app/raw_data/subj02_timepoint02.mp4
174,2.3727621035409343,Pass,/app/raw_data/subj02_timepoint02.mp4
175,0.09999999999999964,Pass,/app/raw_data/subj02_timepoint02.mp4
176,0.5385164807134574,Pass,/app/raw_data/subj02_timepoint02.mp4
177,5.407402333838344,Pass,/app/raw_data/subj02_timepoint02.mp4
178,2.4166091947189483,Pass,/app/raw_data/subj02_timepoint02.mp4
179,2.9154759474226277,Pass,/app/raw_data/subj02_timepoint02.mp4
180,0.7348469228349428,Pass,/app/raw_data/subj02_timepoint02.mp4
181,2.632489316217603,Pass,/app/raw_data/subj02_timepoint02.mp4
182,1.0816653826391767,Pass,/app/raw_data/subj02_timepoint02.mp4
183,2.23830292855994,Pass,/app/raw_data/subj02_timepoint02.mp4
184,0.41231056256179904,Pass,/app/raw_data/subj02_timepoint02.mp4
185,2.469817807045713,Pass,/app/raw_data/subj02_timepoint02.mp4
186,2.302172886644249,Pass,/app/raw_data/subj02_timepoint02.mp4
187,3.1320919526731754,Pass,/app/raw_data/subj02_timepoint02.mp4
188,6.949100661236686,Pass,/app/raw_data/subj02_timepoint02.mp4
189,5.240229002629583,Pass,/app/raw_data/subj02_timepoint02.mp4
190,2.824889378365107,Pass,/app/raw_data/subj02_timepoint02.mp4
191,2.87054001888146,Pass,/app/raw_data/subj02_timepoint02.mp4
192,0.7071067811865362,Pass,/app/raw_data/subj02_timepoint02.mp4
193,1.7233687939614364,Pass,/app/raw_data/subj02_timepoint02.mp4
194,0.9539392014169487,Pass,/app/raw_data/subj02_timepoint02.mp4
