mov_hposepitch,mov_hposeyaw,mov_hposeroll,mov_hposedist,error_reason,dbm_master_url
0.135,0.063,0.021,0.006403124237432848,Pass,/app/raw_data/subj01_timepoint01.mp4
0.138,0.061,0.022000000000000002,0.0037416573867739447,Pass,/app/raw_data/subj01_timepoint01.mp4
0.133,0.064,0.019,0.006557438524302007,Pass,/app/raw_data/subj01_timepoint01.mp4
0.139,0.062,0.02,0.006403124237432854,Pass,/app/raw_data/subj01_timepoint01.mp4
0.136,0.064,0.019,0.0037416573867739447,Pass,/app/raw_data/subj01_timepoint01.mp4
0.138,0.064,0.02,0.0022360679774997916,Pass,/app/raw_data/subj01_timepoint01.mp4
0.135,0.065,0.019,0.003316624790355403,Pass,/app/raw_data/subj01_timepoint01.mp4
0.138,0.064,0.019,0.003162277660168382,Pass,/app/raw_data/subj01_timepoint01.mp4
0.139,0.067,0.018000000000000002,0.0033166247903554016,Pass,/app/raw_data/subj01_timepoint01.mp4
0.138,0.068,0.017,0.001732050807568879,Pass,/app/raw_data/subj01_timepoint01.mp4
0.13699999999999998,0.065,0.019,0.0037416573867739503,Pass,/app/raw_data/subj01_timepoint01.mp4
0.135,0.066,0.018000000000000002,0.002449489742783156,Pass,/app/raw_data/subj01_timepoint01.mp4
0.134,0.065,0.019,0.0017320508075688767,Pass,/app/raw_data/subj01_timepoint01.mp4
0.132,0.065,0.019,0.0020000000000000018,Pass,/app/raw_data/subj01_timepoint01.mp4
0.132,0.065,0.019,0.0,Pass,/app/raw_data/subj01_timepoint01.mp4
0.129,0.063,0.019,0.0036055512754639926,Pass,/app/raw_data/subj01_timepoint01.mp4
0.127,0.063,0.019,0.0020000000000000018,Pass,/app/raw_data/subj01_timepoint01.mp4
0.124,0.063,0.021,0.0036055512754639926,Pass,/app/raw_data/subj01_timepoint01.mp4
0.12300000000000001,0.065,0.022000000000000002,0.002449489742783175,Pass,/app/raw_data/subj01_timepoint01.mp4
0.125,0.062,0.021,0.0037416573867739373,Pass,/app/raw_data/subj01_timepoint01.mp4
0.127,0.063,0.021,0.0022360679774997916,Pass,/app/raw_data/subj01_timepoint01.mp4
0.125,0.064,0.021,0.0022360679774997916,Pass,/app/raw_data/subj01_timepoint01.mp4
0.126,0.065,0.02,0.001732050807568879,Pass,/app/raw_data/subj01_timepoint01.mp4
0.124,0.063,0.022000000000000002,0.003464101615137758,Pass,/app/raw_data/subj01_timepoint01.mp4
0.12300000000000001,0.062,0.022000000000000002,0.0014142135623730866,Pass,/app/raw_data/subj01_timepoint01.mp4
0.128,0.064,0.021,0.0054772255750516535,Pass,/app/raw_data/subj01_timepoint01.mp4
0.128,0.063,0.021,0.0010000000000000009,Pass,/app/raw_data/subj01_timepoint01.mp4
0.129,0.062,0.022000000000000002,0.001732050807568879,Pass,/app/raw_data/subj01_timepoint01.mp4
0.126,0.061,0.023,0.0033166247903554016,Pass,/app/raw_data/subj01_timepoint01.mp4
0.126,0.062,0.022000000000000002,0.001414213562373094,Pass,/app/raw_data/subj01_timepoint01.mp4
0.128,0.062,0.021,0.0022360679774997916,Pass,/app/raw_data/subj01_timepoint01.mp4
0.126,0.061,0.022000000000000002,0.0024494897427831805,Pass,/app/raw_data/subj01_timepoint01.mp4
0.127,0.063,0.021,0.0024494897427831805,Pass,/app/raw_data/subj01_timepoint01.mp4
0.125,0.062,0.021,0.0022360679774997916,Pass,/app/raw_data/subj01_timepoint01.mp4
0.121,0.063,0.022000000000000002,0.004242640687119289,Pass,/app/raw_data/subj01_timepoint01.mp4
