aco_mfcc1,aco_mfcc2,aco_mfcc3,aco_mfcc4,aco_mfcc5,aco_mfcc6,aco_mfcc7,aco_mfcc8,aco_mfcc9,aco_mfcc10,aco_mfcc11,aco_mfcc12,Frames,error_reason,dbm_master_url
358.25045960519753,-14.600949384919366,33.87071401487978,-51.964216070048444,56.726681464730866,-40.480326161069264,63.34560838859484,-9.662852252954414,18.258113212134216,-33.78509965384762,25.687823902621957,-0.8099290289250956,15,Pass,/app/raw_data/subj01_timepoint02.mp4
355.8158990705313,-17.511650443082225,28.04898535576764,-56.61619609886871,57.70065734011472,-35.09257413558386,67.4309735147882,-8.0776193666329,14.968667482778649,-42.586282808300886,14.721801833365518,-10.22373843086282,16,Pass,/app/raw_data/subj01_timepoint02.mp4
360.8457302874598,-14.612946575741935,30.50813288288177,-53.95105801205851,62.25159598155748,-28.974124077429043,71.50207839556829,-6.765641730373224,12.921563247823183,-49.921974847226444,6.618313787200099,-16.533340003635317,17,Pass,/app/raw_data/subj01_timepoint02.mp4
373.1226537687886,-9.16430273882175,37.97538320988376,-46.72342524126618,66.48860526662607,-26.397344026839573,72.53576512865162,-6.429765173543265,11.155977411947296,-53.907249277166514,3.624442155925532,-18.93847149632542,18,Pass,/app/raw_data/subj01_timepoint02.mp4
389.4753624627907,-3.964611359284742,45.52849801460805,-41.096302025336556,66.38464712806633,-29.99464727258536,68.66824990181432,-6.45236677622615,11.12859065097287,-51.01861710305835,7.945195929673973,-16.727253945587176,19,Pass,/app/raw_data/subj01_timepoint02.mp4
404.8006478893404,0.3286706727698565,51.89333213326256,-38.22296742965391,64.60555887054056,-35.60164547160795,62.30558780837171,-6.251842830031441,11.80511368795121,-43.81359000377979,15.253892508317943,-13.531612758985368,20,Pass,/app/raw_data/subj01_timepoint02.mp4
416.8048883281754,4.63293456219774,57.64729212040771,-36.73647230631674,63.67339407112735,-39.76217365765429,55.154899892140236,-7.009222734196735,11.459228833892517,-37.59371798811334,19.947836362783995,-12.699962117899952,21,Pass,/app/raw_data/subj01_timepoint02.mp4
425.38890204201175,8.701740769475233,62.046200279374105,-35.76451933827073,63.17163296031124,-42.14289488488961,47.56683055161815,-8.961916822570586,11.280931755295281,-34.28474321330132,20.501784197376004,-14.471016287545753,22,Pass,/app/raw_data/subj01_timepoint02.mp4
430.42100229756454,10.516407088098788,63.68975606264627,-34.438144832408035,62.14692517520194,-43.92557801207673,39.664954827796265,-10.930073627587822,12.91689767156325,-33.05837524537738,18.463303889234748,-16.916318617080254,23,Pass,/app/raw_data/subj01_timepoint02.mp4
432.5704127788197,8.671518644100416,62.39022568194231,-31.933146526277447,59.51295589327118,-46.96531796132513,31.579943846478145,-12.161102207630758,15.92328466888198,-33.10969201934986,15.520732467603375,-18.34015995626619,24,Pass,/app/raw_data/subj01_timepoint02.mp4
433.3214928182199,4.085892846763212,59.610051101450566,-28.534797703794354,54.49478376941967,-51.71064649771837,24.513414007806063,-13.278343138587461,17.880633626950434,-34.37258955689953,12.631276004682801,-18.52076245119833,25,Pass,/app/raw_data/subj01_timepoint02.mp4
435.6404595156301,0.04754629900271823,58.09489528687604,-24.6084190329083,47.77505253579635,-56.08278506383524,19.77853661042329,-15.307557679264905,16.755131919517993,-37.62275082048062,9.525581935241716,-19.36219865417766,26,Pass,/app/raw_data/subj01_timepoint02.mp4
441.996074498924,0.2782470865228568,60.574841621932855,-19.82884460761735,43.07320220170159,-54.976672512742965,20.33959270409875,-16.089133852213934,14.412452270144616,-42.08508427085354,7.953472761479841,-21.383831142509592,27,Pass,/app/raw_data/subj01_timepoint02.mp4
450.3488100977092,4.9014709692710134,66.33370606453643,-14.623652371202672,43.61810962094846,-45.89921124773821,26.741621326556384,-13.130579631688052,15.221378484581013,-44.683653230682765,10.436936681444891,-23.242267418613864,28,Pass,/app/raw_data/subj01_timepoint02.mp4
455.33539010403416,9.25949258579475,70.08884742152125,-11.595431399833394,47.95558731894921,-33.24197947937123,34.52019246391836,-8.66273759574323,19.16331451517309,-44.85659160103985,13.687707349716414,-26.56534123401693,29,Pass,/app/raw_data/subj01_timepoint02.mp4
455.1392891083899,10.579766929760652,69.44862172961408,-11.020078627949669,55.134166473452495,-20.33547913235059,41.47841558333111,-3.9116555772950363,25.27281736931139,-42.19290903483154,14.716064083083271,-31.30663357831349,30,Pass,/app/raw_data/subj01_timepoint02.mp4
450.7028099013709,8.21865489661333,64.94494765477171,-12.649724279602562,64.17937178272798,-7.821808148713517,47.87478705060887,0.9989772598174653,31.51291518840759,-37.335261636398336,13.990764380295401,-35.191254753679765,31,Pass,/app/raw_data/subj01_timepoint02.mp4
445.05950562421435,2.5131974141935913,57.92861164822898,-16.611679533102045,72.78207415487549,3.938018989054026,53.51793295801818,5.118121543800385,34.58801658545439,-32.62404771319913,13.70689591424626,-35.857815165162236,32,Pass,/app/raw_data/subj01_timepoint02.mp4
442.0321529870404,-3.783789614173269,52.20722979052209,-21.396018407657408,77.50670574293392,11.695944803851852,55.06748255463572,5.623625142628359,31.782158383807197,-31.025037358162106,13.628073806724279,-34.47120932302507,33,Pass,/app/raw_data/subj01_timepoint02.mp4
