frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, AU09_c, AU23_r,s_confidence,fac_hapintsoft,fac_sadintsoft,fac_surintsoft,fac_feaintsoft,fac_angintsoft,fac_disintsoft,fac_conintsoft,fac_negintsoft,fac_posintsoft,neu_exp,cai_exp,fac_comintsoft,fac_happres,fac_sadpres,fac_surpres,fac_feapres,fac_angpres,fac_dispres,fac_conpres,fac_hapinthard,fac_sadinthard,fac_surinthard,fac_feainthard,fac_anginthard,fac_disinthard,fac_coninthard,fac_neginthard,fac_posinthard,neu_exp_full,cai_exp_full,fac_cominthard,fac_happsuprinthard,fac_happsuprintsoft,error_reason,dbm_master_url
21,0,0.667,0.98,1,0.37,0.13,1.57,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.01,0.11,0.09,0.05,0.12,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.16166666666666665,0.06166666666666667,0.16166666666666665,0.26166666666666666,0,0,0.11699999999999999,0,0.06166666666666667,0.16166666666666665,0.09238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06166666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
22,0,0.7,0.98,1,0.36,0.15,1.58,0.0,0.0,1.51,0.0,0.0,0.0,0.0,0.01,0.05,0.09,0.06,0.14,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.16166666666666665,0.06,0.16166666666666665,0.26333333333333336,0,0,0.11733333333333333,0,0.06,0.16166666666666665,0.09238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06,Pass,/app/raw_data/subj01_timepoint01.mp4
23,0,0.733,0.98,1,0.38,0.14,1.57,0.0,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.05,0.16,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.1625,0.06333333333333334,0.1625,0.26166666666666666,0,0,0.11733333333333333,0,0.06333333333333334,0.1625,0.09285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06333333333333334,Pass,/app/raw_data/subj01_timepoint01.mp4
24,0,0.767,0.98,1,0.37,0.05,1.59,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.11,0.15,0.06,0.22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.16333333333333333,0.06166666666666667,0.16333333333333333,0.265,0,0,0.11833333333333333,0,0.06166666666666667,0.16333333333333333,0.09333333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06166666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
25,0,0.8,0.98,1,0.41,0.03,1.58,0.0,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.11,0.14,0.06,0.23,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.16583333333333333,0.06833333333333333,0.16583333333333333,0.26333333333333336,0,0,0.119,0,0.06833333333333333,0.16583333333333333,0.09476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06833333333333333,Pass,/app/raw_data/subj01_timepoint01.mp4
26,0,0.833,0.98,1,0.42,0.03,1.63,0.0,0.0,1.44,0.04,0.0,0.0,0.0,0.0,0.05,0.11,0.04,0.27,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.1708333333333333,0.06999999999999999,0.1708333333333333,0.27166666666666667,0,0,0.12266666666666666,0,0.06999999999999999,0.1708333333333333,0.09761904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06999999999999999,Pass,/app/raw_data/subj01_timepoint01.mp4
27,0,0.867,0.98,1,0.4,0.04,1.6,0.0,0.0,1.54,0.04,0.0,0.0,0.0,0.03,0.0,0.06,0.06,0.22,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.26666666666666666,0,0,0.12,0,0.06666666666666667,0.16666666666666666,0.09523809523809525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.06666666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
28,0,0.9,0.98,1,0.34,0.09,1.55,0.0,0.0,1.7,0.04,0.0,0.0,0.0,0.08,0.0,0.1,0.04,0.25,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.1575,0.05666666666666667,0.1575,0.25833333333333336,0,0,0.11466666666666667,0,0.05666666666666667,0.1575,0.09000000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.05666666666666667,Pass,/app/raw_data/subj01_timepoint01.mp4
29,0,0.9329999999999999,0.98,1,0.33,0.05,1.5,0.0,0.0,1.75,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.04,0.2,0.01,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.1525,0.055,0.1525,0.25,0,0,0.11099999999999999,0,0.055,0.1525,0.08714285714285715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.055,Pass,/app/raw_data/subj01_timepoint01.mp4
30,0,0.9670000000000001,0.98,1,0.29,0.04,1.47,0.0,0.0,1.73,0.0,0.0,0.0,0.0,0.05,0.01,0.11,0.02,0.16,0.03,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9800000000000001,0,0.14666666666666667,0.04833333333333333,0.14666666666666667,0.245,0,0,0.10766666666666666,0,0.04833333333333333,0.14666666666666667,0.0838095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.04833333333333333,Pass,/app/raw_data/subj01_timepoint01.mp4
