fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.0,0.0,0.0,1.1,1.28,0.05,0.86,0.39,1.7,0.0,0.47,0.15,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,0,0.867,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.12,1.32,0.05,0.89,0.43,1.66,0.0,0.53,0.09,0.05,0.01,0.24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,0.9,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.13,1.27,0.02,0.97,0.41,1.63,0.0,0.47,0.0,0.0,0.03,0.34,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,0,0.9329999999999999,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.12,1.35,0.02,1.11,0.37,1.63,0.0,0.53,0.0,0.02,0.05,0.41,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0,0.9670000000000001,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.11,1.35,0.03,1.18,0.35,1.63,0.0,0.59,0.0,0.02,0.04,0.38,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0,1.0,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.09,1.43,0.01,1.15,0.36,1.69,0.0,0.65,0.0,0.05,0.04,0.42,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,0,1.033,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,1.03,1.42,0.02,1.01,0.36,1.75,0.0,0.58,0.08,0.06,0.01,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,0,1.067,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.98,1.47,0.03,0.94,0.34,1.76,0.0,0.4,0.08,0.06,0.01,0.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,0,1.1,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.0,0.0,0.0,0.0,0.91,1.41,0.04,0.85,0.31,1.61,0.0,0.26,0.08,0.03,0.0,0.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0,1.133,0.98,1,/app/raw_data/subj02_timepoint02.mp4
0.02,0.03,0.0,0.0,0.97,1.51,0.03,0.98,0.35,1.6,0.0,0.28,0.0,0.05,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,0,1.167,0.98,1,/app/raw_data/subj02_timepoint02.mp4
